Unnamed: 0,ref,city,departement,region,titre,type,living_area_m2,lot_size_m2,nb_room,nb_bedroom,pool,cellar,garage,output
6451,/fr/properties/56894a-pcvma110006129.htm,Mimizan,Landes,Aquitaine,Maison avec piscine,maison,150.0,908.0,5.0,3.0,True,False,True,239000
6452,/fr/properties/20949a-s2380.htm,Vieux-Mareuil,Dordogne,Aquitaine,Ensemble pierre sur 1952 m²,autre,170.0,1952.0,5.0,3.0,False,False,False,123500
6453,/fr/properties/34486a-4447.htm,Lalinde,Dordogne,Aquitaine,Maison en pierres,maison,210.0,3379.0,7.0,3.0,False,False,True,456750
6454,/fr/properties/1958a-704168.htm,Mialet,Dordogne,Aquitaine,Maison de plain-pied a vendre complètement rénové avec 3 chambres,maison,111.0,3456.0,6.0,3.0,False,False,False,185500
6455,/fr/properties/13319a-5416JPM.htm,Sauveterre-la-Lémance,Lot-et-Garonne,Aquitaine,"Maison De Village + Gîte, Ensemble De Style Arcachonnais Avec Piscine",maison,270.0,7007.0,9.0,6.0,False,False,False,305000
6456,/fr/properties/24813a-1119.htm,Bergerac,Dordogne,Aquitaine,Maison d’architecte à Bergerac,maison,230.0,2200.0,7.0,4.0,True,False,False,520000
6457,/fr/properties/35979a-64025953.htm,Bordeaux,Gironde,Aquitaine,A vendre - Propriété viticole 20 ha à 40 min de Bordeaux,autre,436.0,220000.0,17.0,6.0,True,True,True,10480000
6458,/fr/properties/44914a-44914-27.htm,Agen,Lot-et-Garonne,Aquitaine,Belle Maison Piscine Dependances Terrain,maison,275.0,5000.0,7.0,6.0,True,True,False,399000
6459,/fr/properties/24813a-1216.htm,Bergerac,Dordogne,Aquitaine,"Belle propriété sur 1ha avec piscine, gîte.",autre,350.0,10000.0,12.0,6.0,True,True,False,595000
6460,/fr/properties/56143a-110204cg.htm,Libourne,Gironde,Aquitaine,Maison/Villa 5 pièces,autre,101.0,276.0,5.0,3.0,False,False,True,296000
6461,/fr/properties/24813a-1096.htm,Bergerac,Dordogne,Aquitaine,"Charmante maison en pierre, à Bergerac",maison,190.0,1350.0,7.0,4.0,True,False,False,330000
6462,/fr/properties/36235a-898.htm,Taillecavat,Gironde,Aquitaine,Sous Compromis -Maison Taillecavat à rafraîchir avec jardin,autre,164.0,381.0,5.0,2.0,False,False,False,86400
6463,/fr/properties/5725a-300945.htm,Castelnaud-la-Chapelle,Dordogne,Aquitaine,"Au Calme, Jolie Maison En Bon Etat GENERAL",maison,80.0,800.0,5.0,3.0,False,False,False,129960
6464,/fr/properties/13315a-3301814543.htm,Soulac-sur-Mer,Gironde,Aquitaine,Appartement,appartement,52.0,,3.0,2.0,False,False,False,250100
6465,/fr/properties/2756a-25082039.htm,Saint-André-de-Cubzac,Gironde,Aquitaine,Maison,maison,200.0,5000.0,5.0,3.0,False,False,False,295000
6466,/fr/properties/30693a-114047rp.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,Maison/Villa 7 pièces,autre,290.0,1200.0,7.0,5.0,False,True,True,1545000
6467,/fr/properties/24967a-57589onty.htm,Bayonne,Pyrénées-Atlantiques,Aquitaine,Bel environnement pour ces appartements T3 à T4 à Bayonne !,autre,63.0,,3.0,2.0,False,False,False,233000
6468,/fr/properties/18000a-204159.htm,Oloron-Sainte-Marie,Pyrénées-Atlantiques,Aquitaine,Proximite Immediate Oloron - Belle Villa Bearnaise Avec Piscine Et Vue Sur Montagnes,villa,261.0,3775.0,7.0,5.0,False,False,False,357000
6469,/fr/properties/21694a-sa7502-1.htm,Montignac,Dordogne,Aquitaine,Perigord noir- secteur montignac - maison ancienne rénovée avec grange - jolie vue,maison,90.0,3000.0,4.0,3.0,False,False,False,244000
6470,/fr/properties/2756a-25074159.htm,Blaye,Gironde,Aquitaine,Maison,maison,96.0,317.0,4.0,2.0,False,False,False,147000
