list_ville,list_departement,list_region
sainte-colombe-de-duras,,
pessac-sur-dordogne,,
savignac-de-duras,,
saint-martial-de-valette,,
négrondes,,
conchez-de-béarn,,
monsec,,
loubejac,,
la chapelle-montmoreau,,
verteuil-d'agenais,,
anlhiac,,
sainte-marthe,,
la jemaye,,
idaux-mendy,,
sainte-marie-de-gosse,,
saint-aubin-de-cadelech,,
bussac,,
tabanac,,
lapouyade,,
saint-avit-de-soulège,,
hagetaubin,,
la chapelle-faucher,,
mézin,,
caumont,,
blis-et-born,,
les esseintes,,
garein,,
saint-félix-de-villadeix,,
le mas-d'agenais,,
saint-cassien,,
cadaujac,,
abjat-sur-bandiat,,
saint-pierre-d'irube,,
boudy-de-beauregard,,
trémons,,
monbahus,,
castelviel,,
saint-romain-et-saint-clément,,
camarsac,,
saint-martin-lacaussade,,
badefols-d'ans,,
arrast-larrebieu,,
bouliac,,
champeaux-et-la-chapelle-pommier,,
valeyrac,,
saint-germain-d'esteuil,,
bellocq,,
prignac-en-médoc,,
saint-yzans-de-médoc,,
saugnacq-et-muret,,
labastide-castel-amouroux,,
gamarde-les-bains,,
saint-germain-de-belvès,,
saint-paul-la-roche,,
doulezon,,
sainte-gemme,,
moustey,,
auradou,,
paussac-et-saint-vivien,,
puch-d'agenais,,
baigneaux,,
braud-et-saint-louis,,
campugnan,,
saint-vivien,,
florimont-gaumier,,
mauriac,,
bourideys,,
beaupuy,,
thénac,,
saint-martial-d'artenset,,
vianne,,
laà-mondrans,,
milhac-de-nontron,,
moulis-en-médoc,,
