ref,city,county,district,area_m2,ground_m2,nb_room,nb_bedroom,pool,cellar,garage,output
/fr/properties/38747a-bl-569.htm,Saint-Sauveur-de-Puynormand,Gironde,Aquitaine,122,340,5,4,,,,66500
/fr/properties/55957a-7149d.htm,Penne-d'Agenais,Lot-et-Garonne,Aquitaine,225,11399,6,4,,,,367500
/fr/properties/38747a-bl-568.htm,Porchères,Gironde,Aquitaine,3846,3846,,,,,,38000
/fr/properties/59987a-3388.htm,Mios,Gironde,Aquitaine,130,910,5,4,,,True,466000
/fr/properties/54830a-x20190902.htm,Bazas,Gironde,Aquitaine,155,2177,5,3,,,True,210000
/fr/properties/24053a-bvi28445.htm,Ribérac,Dordogne,Aquitaine,96,2152,4,2,,,,140500
/fr/properties/21996a-127cal92640.htm,Bazas,Gironde,Aquitaine,160,1421,8,4,,,,299600
/fr/properties/67076a-7501186633.htm,Saint-Sulpice-de-Roumagnac,Dordogne,Aquitaine,350,16500,11,7,True,,True,369250
/fr/properties/67076a-7501186632.htm,Saint-Paul-Lizonne,Dordogne,Aquitaine,192,17200,8,5,,,True,406175
/fr/properties/67083a-7501186666.htm,Lunas,Dordogne,Aquitaine,201,10100,9,5,True,,True,450000
/fr/properties/24053a-bvi20468.htm,Villeréal,Lot-et-Garonne,Aquitaine,250,6153,6,4,,,,371530
/fr/properties/26469a-181222050cib.htm,Savignac-sur-Leyze,Lot-et-Garonne,Aquitaine,110,1606,5,3,,True,True,155000
/fr/properties/67043a-7501186640.htm,Arès,Gironde,Aquitaine,150,1030,7,4,True,,True,559000
/fr/properties/67076a-7501186634.htm,Saint-Michel-de-Rivière,Dordogne,Aquitaine,350,126600,9,5,True,,,508000
/fr/properties/34430a-103125.htm,Montferrand-du-Périgord,Dordogne,Aquitaine,93,1818,6,3,,,,243800
/fr/properties/30693a-121640rp.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,95,,4,3,,True,True,606000
/fr/properties/31785a-bia-1564-vp.htm,Bidart,Pyrénées-Atlantiques,Aquitaine,220,2300,8,4,True,,True,3390000
/fr/properties/67076a-7501186629.htm,Vanxains,Dordogne,Aquitaine,250,2360,13,7,True,,True,276900
/fr/properties/13787a-1058.htm,Belvès,Dordogne,Aquitaine,120,4500,,3,,,,299000
/fr/properties/24967a-59777ml.htm,Irissarry,Pyrénées-Atlantiques,Aquitaine,300,,16,6,,,,625000
/fr/properties/19100a-3438047859.htm,Bayonne,Pyrénées-Atlantiques,Aquitaine,152,363,7,5,,True,,598000
/fr/properties/1494a-5130.htm,Sainte-Livrade-sur-Lot,Lot-et-Garonne,Aquitaine,106,4100,4,3,True,,True,189900
/fr/properties/67076a-7501186619.htm,Saint-Astier,Dordogne,Aquitaine,250,24800,9,6,,True,True,271000
/fr/properties/31973a-124876cl.htm,Pau,Pyrénées-Atlantiques,Aquitaine,70,,3,2,,,True,249000
/fr/properties/31785a-bia-1601-vp.htm,Arcangues,Pyrénées-Atlantiques,Aquitaine,267,2400,10,5,,,,1595000
/fr/properties/26560a-124778sc.htm,Brantôme,Dordogne,Aquitaine,180,4250,8,4,,,True,249000
/fr/properties/67076a-7501186635.htm,Saint-Michel-de-Double,Dordogne,Aquitaine,140,282900,6,3,True,,True,499000
/fr/properties/31658a-1090.htm,Montayral,Lot-et-Garonne,Aquitaine,75,471,4,3,,,,71000
/fr/properties/67076a-7501186628.htm,Annesse-et-Beaulieu,Dordogne,Aquitaine,736,183400,16,7,True,True,True,945000
/fr/properties/26469a-225079aas.htm,Solférino,Landes,Aquitaine,153,7016,6,4,,,,300000
/fr/properties/18939a-830030811834.htm,Dax,Landes,Aquitaine,340,,11,6,,,True,426000
/fr/properties/185527a-213140.htm,Cause-de-Clérans,Dordogne,Aquitaine,230,,7,5,True,,True,599000
/fr/properties/20762a-mdh2020012-a01.htm,Urrugne,Pyrénées-Atlantiques,Aquitaine,116,,5,4,,,True,525000
/fr/properties/62857a-100138mx744.htm,Sarlat-la-Canéda,Dordogne,Aquitaine,138,1172,4,3,,,,272000
/fr/properties/9023a-954.htm,Castelmoron-sur-Lot,Lot-et-Garonne,Aquitaine,124,2100,7,3,True,,,169900
/fr/properties/67032a-7501186682.htm,Bergerac,Dordogne,Aquitaine,175,1214,5,4,True,,True,225000
/fr/properties/31724a-2285.htm,Bergerac,Dordogne,Aquitaine,240,160,8,8,,True,,399000
/fr/properties/67032a-7501186677.htm,Bergerac,Dordogne,Aquitaine,163,4730,5,4,True,,True,379000
/fr/properties/78249a-828cb402.htm,Saint-Emilion,Gironde,Aquitaine,390,130000,14,7,,True,,1050000
/fr/properties/44945a-m672.htm,Saint-Pée-sur-Nivelle,Pyrénées-Atlantiques,Aquitaine,355,2710,,5,True,True,,2250000
/fr/properties/67032a-7501186676.htm,Bergerac,Dordogne,Aquitaine,182,2600,6,4,,,True,299000
/fr/properties/67043a-7501186670.htm,Arcachon,Gironde,Aquitaine,49,,2,,,True,True,369000
/fr/properties/30145a-1649.htm,Orriule,Pyrénées-Atlantiques,Aquitaine,108,5570,4,2,,,,316500
/fr/properties/67076a-7501186622.htm,Montagrier,Dordogne,Aquitaine,199,6500,9,6,True,,True,299000
/fr/properties/18939a-830035540789.htm,Saint-Paul-lès-Dax,Landes,Aquitaine,360,16000,9,5,,,True,695000
/fr/properties/67032a-7501186672.htm,Bergerac,Dordogne,Aquitaine,190,1050,6,5,,,True,470000
